repo_name,index_month,commit_count
MetaMask/metamask-extension,2020-08-01,1570
antoniolg/Kotlin-for-Android-Developers,2024-03-01,0
quay/clair,2020-03-01,161
xuchengsheng/spring-reading,2021-03-01,0
attractivechaos/klib,2020-12-01,10
conorpp/u2f-zero,2024-03-01,0
netease-youdao/QAnything,2020-04-01,0
grantland/android-autofittextview,2021-12-01,0
grantland/android-autofittextview,2019-09-01,0
microsoft/coreutils,2022-07-01,0
OpenMOSS/MOSS,2020-07-01,0
rstacruz/nprogress,2021-07-01,0
buuing/lucky-canvas,2020-08-01,8
nissl-lab/npoi,2023-04-01,259
getpelican/pelican,2020-05-01,226
HKUST-Aerial-Robotics/VINS-Mono,2023-11-01,2
antoniolg/Kotlin-for-Android-Developers,2020-11-01,2
laochiangx/Common.Utility,2020-01-01,32
mdbootstrap/adminlte-laravel,2021-03-01,44
shadcn-ui/taxonomy,2020-12-01,0
HaoOuBa/Joe,2021-03-01,172
Bodmer/TFT_eSPI,2023-08-01,185
tasks/tasks,2021-01-01,1957
flame/blis,2020-02-01,223
freshshell/fresh,2020-07-01,27
jmoiron/sqlx,2020-09-01,24
OpenMOSS/MOSS,2022-12-01,0
Turbo1123/roubao,2025-06-01,0
zai-org/ChatGLM-6B,2021-01-01,0
magnusvk/counter_culture,2023-03-01,6
sebastianbergmann/object-reflector,2020-02-01,12
ncapdevi/FragNav,2019-08-01,45
chatboxai/chatbox,2024-09-01,44
utilForever/game-developer-roadmap,2020-05-01,8
trickster0/OffensiveRust,2020-01-01,0
utilForever/game-developer-roadmap,2021-06-01,0
jondot/awesome-react-native,2024-03-01,0
tensorflow/playground,2021-07-01,10
memcached/memcached,2020-05-01,166
karpathy/nanochat,2020-10-01,0
magnusvk/counter_culture,2019-11-01,87
Stability-AI/StableSwarmUI,2024-02-01,1372
romanvht/ByeByeDPI,2024-04-01,14
hbons/SparkleShare,2022-11-01,5
id-Software/DOOM,2021-12-01,0
nothings/stb,2021-07-01,58
natefinch/lumberjack,2021-04-01,1
wuyr/GoogleLibraryVersionQuerier,2024-07-01,0
nemoTyrant/manong,2019-10-01,0
baidu/uid-generator,2019-09-01,2
AutoHotkey/AutoHotkey,2020-02-01,366
fighting41love/funNLP,2020-10-01,37
peterq/pan-light,2022-04-01,0
romanvht/ByeByeDPI,2020-05-01,0
Xabaril/AspNetCore.Diagnostics.HealthChecks,2021-10-01,115
kickstarter/android-oss,2023-07-01,154
androiddevnotes/awesome-android-learning-resources,2019-08-01,0
robfig/cron,2023-07-01,0
midudev/aprendiendo-react,2024-07-01,24
JakeWharton/u2020,2023-05-01,0
mit-pdos/xv6-riscv,2020-04-01,241
BluePointLilac/ContextMenuManager,2022-09-01,12
oneHamidreza/MeowBottomNavigation,2022-05-01,0
peterq/pan-light,2021-07-01,0
karpathy/autoresearch,2024-03-01,0
jdah/minecraft-weekend,2021-08-01,19
linw7/Skill-Tree,2020-11-01,0
xtermjs/xterm.js,2022-08-01,1249
statsd/statsd,2023-05-01,3
OpenMined/PySyft,2025-08-01,3597
reduxjs/redux-toolkit,2020-02-01,131
xi-editor/xi-editor,2021-01-01,51
creativetimofficial/ui,2020-04-01,0
NotFound9/interviewGuide,2020-12-01,131
jwise/HoRNDIS,2020-10-01,0
top-think/think,2020-09-01,36
codehub666/94list,2021-08-01,0
Bodmer/TFT_eSPI,2021-01-01,209
AngleSharp/AngleSharp,2021-04-01,24
wix/react-native-calendars,2020-08-01,260
OpenMOSS/MOSS,2020-01-01,0
NVIDIA/open-gpu-kernel-modules,2024-11-01,18
MaxBittker/sandspiel,2020-12-01,17
adamwdraper/Numeral-js,2019-11-01,0
guillaumepotier/Parsley.js,2020-04-01,27
chrxh/alien,2021-12-01,672
cloudfoundry/bosh,2024-08-01,891
kmuto/review,2019-12-01,308
max-mapper/art-of-node,2019-11-01,0
jp9000/OBS,2020-04-01,0
t4t5/sweetalert,2023-05-01,0
foreversd/forever,2019-10-01,11
chalk/chalk,2021-01-01,16
ShahjalalShohag/code-library,2024-04-01,58
peterq/pan-light,2019-12-01,135
FLIF-hub/FLIF,2020-03-01,6
getsops/sops,2021-01-01,87
yanfeizhang/coder-kung-fu,2020-11-01,0
stefanprodan/AspNetCoreRateLimit,2020-11-01,34
jboss-javassist/javassist,2021-05-01,16
devopsgroup-io/vagrant-digitalocean,2022-06-01,0
Tosencen/XMSLEEP,2022-04-01,0
peng-zhihui/HelloWord-Keyboard,2025-05-01,0
amurcanov/proxy-turn-vk-android,2020-12-01,0
Open-Dev-Society/OpenStock,2020-05-01,0
dangrossman/daterangepicker,2020-07-01,15
kickstarter/android-oss,2020-05-01,301
grommet/grommet,2023-01-01,349
ClassicOldSong/Apollo,2020-11-01,291
Open-Dev-Society/OpenStock,2021-06-01,0
coduo/php-humanizer,2021-02-01,8
adisonhuang/awesome-kotlin-android,2021-03-01,0
trojan-gfw/trojan,2020-05-01,85
ShareDropio/sharedrop,2025-04-01,2
n64decomp/sm64,2020-11-01,14
proninyaroslav/libretorrent,2023-09-01,11
robfig/cron,2020-05-01,30
huanghaibin-dev/CalendarView,2021-12-01,26
fukuchi/libqrencode,2020-08-01,5
KDE/kdeconnect-kde,2020-02-01,535
wjakob/instant-meshes,2019-11-01,1
thephpleague/oauth2-client,2020-10-01,11
BrianLima/UWPHook,2021-07-01,34
robfig/cron,2021-06-01,1
petewarden/dstk,2019-08-01,0
go-task/task,2019-08-01,265
cesarferreira/dryrun,2021-01-01,9
Tencent-Hunyuan/Hunyuan3D-2,2020-09-01,0
petkaantonov/bluebird,2020-12-01,5
react-grid-layout/react-grid-layout,2019-10-01,21
OpenBMB/MiniCPM-V,2024-12-01,442
zai-org/ChatGLM-6B,2019-12-01,0
KlingAIResearch/LivePortrait,2020-05-01,0
FlaUI/FlaUI,2020-02-01,81
521xueweihan/HelloGitHub,2024-03-01,30
luin/medis,2020-04-01,30
markzhai/AndroidPerformanceMonitor,2021-12-01,0
shimat/opencvsharp,2019-12-01,461
0xZ0F/Z0FCourse_ReverseEngineering,2025-04-01,5
Ponderfly/GoogleTranslateIpCheck,2022-12-01,39
bozbez/win-capture-audio,2022-03-01,71
wuyr/GoogleLibraryVersionQuerier,2020-04-01,0
roslynpad/roslynpad,2019-09-01,106
zhaoolee/ChromeAppHeroes,2020-10-01,146
qunarcorp/bistoury,2020-10-01,188
androiddevnotes/awesome-android-learning-resources,2020-09-01,55
Tuhinshubhra/RED_HAWK,2022-06-01,0
realm/realm-java,2020-02-01,129
altmann/FluentResults,2021-02-01,113
square/maximum-awesome,2019-11-01,2
julianshapiro/velocity,2020-12-01,5
MuShibo/Micro-Wheeled_leg-Robot,2020-02-01,0
rajkumardusad/IP-Tracer,2020-10-01,9
antirez/sds,2020-08-01,5
ShahjalalShohag/code-library,2021-09-01,292
careercup/ctci,2020-07-01,0
SignalR/SignalR,2021-01-01,11
JetBrains/fernflower,2019-09-01,51
php-fig/log,2020-12-01,5
hackware1993/MagicIndicator,2021-12-01,0
lucasg/Dependencies,2023-04-01,0
xi-editor/xi-editor,2019-12-01,249
hegaojian/JetpackMvvm,2021-03-01,134
ircmaxell/password_compat,2021-04-01,0
Open-Dev-Society/OpenStock,2021-09-01,0
PistonDevelopers/piston,2021-06-01,19
SciRuby/daru,2022-02-01,0
Masterminds/glide,2020-04-01,9
ThingEngineer/PHP-MySQLi-Database-Class,2022-06-01,0
getify/Functional-Light-JS,2020-11-01,1
creativetimofficial/ui,2022-09-01,0
anthropics/claudes-c-compiler,2024-01-01,0
creativetimofficial/ui,2019-09-01,0
TideSec/Mars,2022-01-01,0
EWSoftware/SHFB,2021-11-01,13
PistonDevelopers/piston,2020-05-01,73
vektah/CodeGlance,2020-04-01,0
altmann/FluentResults,2025-05-01,36
libopencm3/libopencm3,2022-04-01,46
EWSoftware/SHFB,2020-02-01,22
redox-os/redox,2022-10-01,350
microsurging/surging,2020-06-01,203
mongodb/mongo-php-library,2021-01-01,225
libimobiledevice/libimobiledevice,2021-09-01,47
malisper/pgrust,2022-04-01,0
helei112g/payment,2020-12-01,48
jaredreich/pell,2022-03-01,0
wave-harmonic/crest,2019-08-01,1087
yuesong-feng/30dayMakeCppServer,2020-01-01,0
symfony/polyfill-intl-idn,2020-02-01,6
xai-org/x-algorithm,2019-11-01,0
Fuzion24/JustTrustMe,2022-10-01,2
rubymotion-community/BubbleWrap,2021-01-01,0
midudev/aprendiendo-react,2020-10-01,0
magnusvk/counter_culture,2022-08-01,21
aleksey-saenko/MusicRecognizer,2024-07-01,147
solstice23/argon-theme,2019-08-01,0
id-Software/DOOM-3-BFG,2021-02-01,0
MyCATApache/Mycat-Server,2020-07-01,211
flike/kingshard,2020-11-01,23
cporter202/API-mega-list,2022-08-01,0
beeradmoore/dlss-swapper,2024-02-01,52
codehub666/94list,2021-10-01,0
asb2m10/dexed,2022-06-01,20
truemail-rb/truemail,2020-07-01,24
openblockchains/awesome-blockchains,2020-04-01,91
spatie/laravel-translatable,2020-01-01,25
wazero/wazero,2021-10-01,5
agrosner/DBFlow,2020-04-01,0
brunodev85/winlator,2020-04-01,0
GeekyAnts/vue-native-core,2020-01-01,119
karpathy/autoresearch,2024-06-01,0
robfig/cron,2020-12-01,6
jmoiron/sqlx,2022-04-01,14
faressoft/terminalizer,2021-01-01,11
CalebFenton/simplify,2023-09-01,0
deepseek-ai/DeepSeek-Coder,2019-10-01,0
symfony/finder,2020-09-01,56
cookiecutter/cookiecutter,2020-04-01,132
drh/lcc,2021-06-01,1
raulmur/ORB_SLAM2,2020-04-01,0
Nevcairiel/LAVFilters,2020-12-01,60
pingcap/talent-plan,2020-01-01,482
Masterminds/glide,2020-10-01,0
jhen0409/react-native-debugger,2019-09-01,108
peterq/pan-light,2023-07-01,0
trojan-gfw/trojan,2020-12-01,64
max-mapper/art-of-node,2025-04-01,0
luin/medis,2019-09-01,54
201206030/novel,2019-09-01,0
Tosencen/XMSLEEP,2023-10-01,0
ninja-build/ninja,2019-10-01,139
react-boilerplate/react-boilerplate,2019-10-01,113
yuesong-feng/30dayMakeCppServer,2020-02-01,0
zq2599/blog_demos,2022-08-01,229
3masterplus/book,2020-12-01,0
macrozheng/mall,2020-01-01,158
NanmiCoder/MediaCrawler,2024-06-01,251
nageoffer/12306,2020-01-01,0
rosuH/AndroidFilePicker,2024-09-01,2
DefinitelyTyped/DefinitelyTyped,2020-05-01,6594
rest-client/rest-client,2020-12-01,0
FLIF-hub/FLIF,2022-11-01,1
diet103/claude-code-infrastructure-showcase,2019-12-01,0
summerblue/laravel-shop,2024-08-01,0
SlatherOrg/slather,2022-06-01,13
symfony/console,2020-12-01,290
v8/v8,2020-10-01,6188
kontena/kontena,2023-05-01,0
donnemartin/data-science-ipython-notebooks,2020-01-01,1
weld-project/weld,2019-12-01,76
microsoft/ailab,2019-11-01,33
zhisheng17/flink-learning,2020-05-01,261
SignalR/SignalR,2019-12-01,22
anhkgg/SuperWeChatPC,2024-04-01,0
gali8/Tesseract-OCR-iOS,2023-08-01,0
Wan-Video/Wan2.1,2020-11-01,0
riscv-collab/riscv-gnu-toolchain,2020-09-01,85
jfeinstein10/SlidingMenu,2020-05-01,0
postmanlabs/newman,2022-08-01,36
yiminghe/async-validator,2021-04-01,47
kardianos/service,2021-08-01,18
cyberbotics/webots,2020-05-01,6838
openshift/origin,2019-10-01,3719
ThreeDotsLabs/wild-workouts-go-ddd-example,2020-10-01,30
amitshekhariitbhu/android-interview-questions,2021-01-01,30
tensorflow/playground,2021-06-01,10
SimpleMobileTools/Simple-Music-Player,2020-08-01,159
tensorflow/playground,2020-05-01,8
Tuhinshubhra/RED_HAWK,2022-03-01,0
eddycjy/go-gin-example,2025-04-01,0
mailboxer/mailboxer,2020-05-01,0
natefinch/lumberjack,2021-11-01,0
php-telegram-bot/core,2022-04-01,105
gptlink/gptlink,2024-05-01,110
home-assistant/android,2020-07-01,175
PistonDevelopers/piston,2020-12-01,24
crankyoldgit/IRremoteESP8266,2021-04-01,223
gonglei007/GameDevMind,2025-05-01,18
unikraft/unikraft,2023-08-01,588
v8/v8,2021-12-01,6665
ruanyf/es6tutorial,2023-03-01,59
hegaojian/JetpackMvvm,2019-11-01,0
Alinshans/MyTinySTL,2022-08-01,2
dompdf/php-font-lib,2021-12-01,0
railsbridge/docs,2023-10-01,11
NYAN-x-CAT/AsyncRAT-C-Sharp,2021-06-01,0
rosuH/AndroidFilePicker,2020-12-01,40
peterq/pan-light,2020-05-01,89
tmrts/go-patterns,2020-05-01,0
abcz316/SKRoot-linuxKernelRoot,2019-12-01,0
tmrts/go-patterns,2021-06-01,0
utilForever/game-developer-roadmap,2020-03-01,8
visionmedia/page.js,2024-07-01,0
sapientinc/HRM,2025-08-01,5
rajkumardusad/IP-Tracer,2022-01-01,3
sumatrapdfreader/sumatrapdf,2019-10-01,76
soulteary/Home-Network-Note,2020-07-01,12
LibrePDF/OpenPDF,2020-12-01,218
WordPress/WordPress,2020-06-01,1780
chromiumembedded/cef,2021-02-01,155
klaudiosinani/taskbook,2021-10-01,0
linw7/Skill-Tree,2023-08-01,0
alexzhirkevich/compose-cupertino,2022-01-01,0
adrianmihalko/ch340g-ch34g-ch34x-mac-os-x-driver,2019-11-01,19
Theano/Theano,2020-06-01,40
dvf/blockchain,2020-10-01,0
golang/mobile,2021-04-01,11
openblockchains/awesome-blockchains,2022-09-01,0
fex-team/fis,2020-12-01,0
reactide/reactide,2025-04-01,0
eranyanay/1m-go-websockets,2022-07-01,1
waditu/tushare,2020-11-01,5
w4po/ExplorerTabUtility,2025-01-01,4
mickael-kerjean/filestash,2019-08-01,305
attractivechaos/klib,2020-04-01,11
romainbutteaud/Kaffeine,2021-01-01,1
TheAlgorithms/Kotlin,2020-10-01,15
visualboyadvance-m/visualboyadvance-m,2021-10-01,92
freshshell/fresh,2023-05-01,13
rook/rook,2020-05-01,1982
awesome-print/awesome_print,2022-10-01,0
Justson/AgentWeb,2021-03-01,50
agrosner/DBFlow,2019-09-01,166
googleapis/google-api-ruby-client,2020-10-01,314
thoughtbot/guides,2024-03-01,17
zq2599/blog_demos,2022-04-01,244
activerecord-hackery/ransack,2020-12-01,69
klinker24/Android-TextView-LinkBuilder,2020-09-01,3
shadcn-ui/taxonomy,2022-11-01,7
tensorflow/playground,2021-09-01,9
apache/airflow,2020-01-01,1986
shuchkin/simplexlsx,2020-12-01,31
frogermcs/InstaMaterial,2022-08-01,0
fex-team/fis,2024-05-01,0
OpenFeign/feign,2024-07-01,284
Turfjs/turf,2021-06-01,36
Jeric-X/SyncClipboard,2022-04-01,63
apache/hadoop,2023-02-01,818
shadcn-ui/taxonomy,2020-04-01,0
leokhoa/laragon,2021-03-01,17
cloudhead/toto,2021-07-01,0
nanovms/nanos,2024-09-01,212
jeremeamia/super_closure,2020-12-01,2
spatie/dashboard.spatie.be,2022-06-01,33
awesome-print/awesome_print,2020-12-01,1
bramp/js-sequence-diagrams,2021-08-01,0
antoyo/relm,2021-02-01,67
utterance/utterances,2021-09-01,61
t4t5/sweetalert,2021-07-01,1
fw876/helloworld,2021-11-01,410
jwise/HoRNDIS,2022-02-01,0
lucasg/Dependencies,2025-08-01,0
dotnet/samples,2020-01-01,1207
FongMi/TV,2019-08-01,0
anthropics/claudes-c-compiler,2021-03-01,0
tyrantgit/ExplosionField,2022-01-01,0
utterance/utterances,2020-01-01,99
jiangdongguo/AndroidUSBCamera,2021-01-01,29
sqshq/piggymetrics,2020-10-01,4
amitshekhariitbhu/Fast-Android-Networking,2019-10-01,2
stanfordnlp/GloVe,2021-09-01,3
petewarden/dstk,2021-01-01,0
LaravelCollective/html,2019-09-01,20
airbnb/ruby,2023-02-01,0
awesome-print/awesome_print,2024-05-01,0
panique/huge,2022-02-01,5
Tosencen/XMSLEEP,2022-12-01,0
comfy/comfortable-mexican-sofa,2024-08-01,0
xunit/xunit,2020-07-01,95
xi-editor/xi-editor,2021-06-01,38
cloudhead/toto,2019-12-01,0
hakimel/Ladda,2020-07-01,6
acidanthera/WhateverGreen,2020-12-01,150
watchexec/watchexec,2021-04-01,33
karpathy/autoresearch,2021-01-01,0
91270/MeiamSubtitles,2021-04-01,0
buuing/lucky-canvas,2021-02-01,219
liuyubobobo/Play-with-Algorithms,2020-11-01,8
t4t5/sweetalert,2019-12-01,2
asciimoo/wuzz,2020-04-01,12
jaakkopasanen/AutoEq,2022-08-01,52
navasmdc/MaterialDesignLibrary,2019-11-01,0
yhzhang0128/egos-2000,2020-12-01,0
maid/maid,2023-03-01,0
tensorflow/playground,2020-12-01,9
diet103/claude-code-infrastructure-showcase,2023-07-01,0
vifreefly/kimuraframework,2022-02-01,1
Franiac/TwitchLeecher,2019-09-01,25
MaxBittker/sandspiel,2020-04-01,61
OpenTSDB/opentsdb,2025-03-01,26
airbnb/paris,2022-01-01,5
fireice-uk/xmr-stak,2020-05-01,93
yanfeizhang/coder-kung-fu,2021-01-01,0
attractivechaos/klib,2020-10-01,10
snapview/tokio-tungstenite,2020-11-01,66
Tosencen/XMSLEEP,2024-09-01,0
nateware/redis-objects,2019-09-01,17
rest-client/rest-client,2020-03-01,15
caydey/ffshare,2023-10-01,60
microsoft/WinUI-Gallery,2020-07-01,175
symfony/dependency-injection,2020-01-01,616
google/gopacket,2025-04-01,2
tmrts/go-patterns,2020-12-01,0
amurcanov/proxy-turn-vk-android,2020-04-01,0
GhostPack/Seatbelt,2020-12-01,119
jagenjo/litegraph.js,2022-11-01,29
ffffffff0x/1earn,2021-03-01,31
MiniMax-AI/skills,2022-12-01,0
camsong/You-Dont-Need-jQuery,2021-02-01,1
spatie/dashboard.spatie.be,2020-01-01,62
gizak/termui,2020-04-01,10
defold/defold,2019-09-01,1884
googleprojectzero/sandbox-attacksurface-analysis-tools,2020-12-01,1022
jmoon018/PacVim,2022-11-01,0
KDE/kdeconnect-kde,2020-06-01,483
Imangazaliev/DiDOM,2021-04-01,14
bozbez/win-capture-audio,2020-06-01,0
Kr1s77/awesome-python-login-model,2020-09-01,33
kyegomez/OpenMythos,2019-12-01,0
BlinkDL/RWKV-LM,2020-07-01,0
collectiveidea/interactor,2022-01-01,1
lisawray/groupie,2023-09-01,2
elvirbrk/NoteHighlight2016,2022-11-01,0
magnusvk/counter_culture,2022-05-01,22
openblockchains/awesome-blockchains,2022-01-01,5
shadcn-ui/taxonomy,2022-09-01,0
Mbed-TLS/mbedtls,2022-01-01,3956
pypa/pipenv,2020-04-01,352
BlinkDL/RWKV-LM,2022-12-01,244
oss-bandb/GraphView,2022-02-01,6
shadcn-ui/taxonomy,2019-09-01,0
raphw/byte-buddy,2019-10-01,397
brynary/rack-bug,2020-12-01,0
visualfc/liteide,2020-02-01,142
solstice23/argon-theme,2021-01-01,259
Manisso/fsociety,2020-01-01,11
KhronosGroup/Vulkan-Samples,2020-11-01,129
WordPress/WordPress,2020-08-01,2297
greenrobot/greenDAO,2021-01-01,21
chokcoco/iCSS,2023-05-01,61
JakeWharton/u2020,2019-10-01,0
TheOdinProject/theodinproject,2022-05-01,958
gcc-mirror/gcc,2020-07-01,8405
diet103/claude-code-infrastructure-showcase,2020-05-01,0
diet103/claude-code-infrastructure-showcase,2021-06-01,0
julianshapiro/velocity,2020-04-01,2
fankes/TSBattery,2022-11-01,256
Justson/AgentWeb,2019-11-01,176
lambda-fairy/maud,2020-12-01,55
xi-editor/xi-editor,2022-10-01,17
brave/adblock-rust,2022-04-01,78
Tosencen/XMSLEEP,2020-12-01,0
koajs/koa,2021-08-01,8
terser/terser,2021-10-01,120
Atmosphere-NX/Atmosphere,2020-05-01,722
FaridSafi/react-native-gifted-chat,2023-05-01,44
NotFound9/interviewGuide,2021-05-01,129
MiniMax-AI/skills,2020-01-01,0
spatie/dashboard.spatie.be,2022-03-01,31
ihsanbal/LoggingInterceptor,2021-03-01,24
m969/EGamePlay,2020-04-01,0
jmoiron/sqlx,2020-05-01,11
Stability-AI/StableSwarmUI,2025-05-01,334
bradtraversy/vanillawebprojects,2020-07-01,59
agrosner/DBFlow,2021-08-01,126
splitwise/TokenAutoComplete,2020-08-01,3
karpathy/nanochat,2021-03-01,0
hongyangAndroid/baseAdapter,2025-03-01,0
causefx/Organizr,2020-12-01,677
comfy/comfortable-mexican-sofa,2022-03-01,0
dvajs/dva,2019-11-01,60
jmoiron/sqlx,2020-07-01,23
fighting41love/funNLP,2021-03-01,13
wave-harmonic/crest,2022-04-01,1423
pluosi/app-host,2025-04-01,0
CodeSeven/toastr,2021-06-01,0
KDE/kdeconnect-kde,2021-12-01,260
bozbez/win-capture-audio,2021-12-01,39
jaredreich/pell,2022-07-01,0
vektah/CodeGlance,2024-01-01,0
BlinkDL/RWKV-LM,2021-09-01,54
BlinkDL/RWKV-LM,2020-01-01,0
MuShibo/Micro-Wheeled_leg-Robot,2020-10-01,0
chatboxai/chatbox,2021-05-01,0
stefanprodan/AspNetCoreRateLimit,2019-12-01,38
topameng/tolua,2021-08-01,4
FlaUI/FlaUI,2019-09-01,4
MaxBittker/sandspiel,2019-09-01,208
akkadotnet/akka.net,2021-02-01,324
sqshq/piggymetrics,2023-02-01,0
libretro/RetroArch,2020-07-01,5110
slymnoyann/hey-1,2022-08-01,0
golang/tools,2025-04-01,974
malisper/pgrust,2020-01-01,0
gabrielrcouto/php-gui,2021-10-01,0
pry/pry-rails,2021-02-01,3
yiminghe/async-validator,2020-02-01,65
Qloapps/QloApps,2020-06-01,17
glium/glium,2020-12-01,91
dry-rb/dry-validation,2019-10-01,402
abcz316/SKRoot-linuxKernelRoot,2021-06-01,0
antirez/disque,2020-10-01,0
blushft/go-diagrams,2020-09-01,0
krallin/tini,2020-01-01,1
fireice-uk/xmr-stak,2020-12-01,7
eduard-permyakov/permafrost-engine,2022-04-01,128
jagenjo/litegraph.js,2025-03-01,0
NVIDIA/personaplex,2025-08-01,0
Open-Dev-Society/OpenStock,2022-11-01,0
cesarferreira/dryrun,2022-10-01,0
LaravelCollective/html,2021-08-01,8
wave-harmonic/crest,2019-12-01,882
square/maximum-awesome,2021-04-01,7
stitionai/devika,2019-08-01,0
openblockchains/awesome-blockchains,2024-01-01,3
DroidPluginTeam/DroidPlugin,2024-01-01,0
vektah/CodeGlance,2022-02-01,0
Ponderfly/GoogleTranslateIpCheck,2022-11-01,24
elvirbrk/NoteHighlight2016,2020-10-01,0
lucasg/Dependencies,2021-01-01,49
chatboxai/chatbox,2020-08-01,0
console-rs/indicatif,2021-03-01,32
HangfireIO/Hangfire,2020-07-01,169
airbnb/synapse,2021-04-01,18
caydey/ffshare,2022-12-01,54
cesarferreira/dryrun,2020-12-01,11
mbebenita/Broadway,2022-07-01,0
leokhoa/laragon,2020-09-01,36
solstice23/argon-theme,2019-12-01,39
id-Software/DOOM,2019-08-01,0
HangfireIO/Hangfire,2022-12-01,127
naman14/TimberX,2020-12-01,16
greenrobot/greenDAO,2019-12-01,6
MaxBittker/sandspiel,2025-07-01,3
hasherezade/pe-bear,2020-06-01,0
discord-jda/JDA,2021-12-01,275
sktime/sktime,2020-06-01,647
zhujiang521/PlayAndroid,2024-03-01,7
ThreeDotsLabs/wild-workouts-go-ddd-example,2022-02-01,22
0voice/introduce_c-cpp_manual,2020-02-01,0
godotengine/godot,2020-07-01,7108
AndroidCoderPeng/DailyTask,2021-11-01,11
deepseek-ai/DeepSeek-Coder,2025-08-01,0
weld-project/weld,2020-12-01,13
mickael-kerjean/filestash,2021-01-01,123
electron-react-boilerplate/electron-react-boilerplate,2019-12-01,1
diet103/claude-code-infrastructure-showcase,2020-12-01,0
maccman/abba,2021-03-01,0
openai/swarm,2021-01-01,0
symfony/console,2020-04-01,423
AndroidCoderPeng/DailyTask,2020-02-01,43
rust-cli/config-rs,2023-03-01,151
linyacool/WebServer,2019-12-01,8
attractivechaos/klib,2021-08-01,8
bastillion-io/Bastillion,2022-01-01,40
OpenMOSS/MOSS,2020-08-01,0
tnodir/fort,2022-11-01,404
baidu/uid-generator,2019-11-01,2
php-fig/log,2019-09-01,7
rajkumardusad/IP-Tracer,2021-03-01,11
espanso/espanso,2021-10-01,460
asciimoo/wuzz,2023-02-01,0
chinabugotech/hutool,2020-10-01,1034
goldfire/howler.js,2024-05-01,5
Atmosphere-NX/Atmosphere,2020-12-01,988
OrchardCMS/OrchardCore,2020-11-01,1212
faressoft/terminalizer,2024-09-01,8
symfony/cache-contracts,2020-02-01,13
TheAlgorithms/Ruby,2020-04-01,8
Adaptix-Framework/AdaptixC2,2020-12-01,0
HangfireIO/Hangfire,2020-01-01,387
loomio/loomio,2021-07-01,2850
nageoffer/12306,2020-06-01,0
WordPress/WordPress,2019-10-01,1872
russross/blackfriday,2021-08-01,1
pry/pry-rails,2022-02-01,8
CodeSeven/toastr,2020-12-01,0
hsutter/cppfront,2023-12-01,523
microsoft/DirectXShaderCompiler,2022-11-01,367
oss-bandb/GraphView,2021-03-01,10
brunodev85/winlator,2024-11-01,55
bevacqua/dragula,2021-11-01,0
doctrine/data-fixtures,2020-12-01,25
deepseek-ai/DeepSeek-Coder,2020-10-01,0
didi/DoKit,2021-01-01,798
tinode/chat,2020-03-01,637
betaflight/betaflight,2020-12-01,1066
natefinch/lumberjack,2022-07-01,0
natefinch/lumberjack,2020-06-01,0
ullmark/hashids.net,2021-04-01,3
stanfordnlp/GloVe,2023-05-01,5
FreyaHolmer/ShaderForge,2020-12-01,5
eranyanay/1m-go-websockets,2019-10-01,7
soulteary/Home-Network-Note,2023-05-01,27
tsayen/dom-to-image,2021-06-01,0
cakephp/cakephp,2019-09-01,2553
Qloapps/QloApps,2023-01-01,573
hasherezade/pe-bear,2021-12-01,0
nvbn/thefuck,2021-01-01,21
ice-cube-ruby/ice_cube,2021-10-01,0
KDE/ghostwriter,2021-01-01,81
sephiroth74/android-target-tooltip,2020-08-01,1
wangeditor-team/wangEditor,2021-07-01,1457
code4craft/webmagic,2021-01-01,68
orhanobut/dialogplus,2022-10-01,0
carbon-app/carbon,2019-09-01,587
tybenz/vimdeck,2023-02-01,0
MiczFlor/RPi-Jukebox-RFID,2020-01-01,251
Open-Dev-Society/OpenStock,2021-05-01,0
markparticle/WebServer,2022-03-01,0
abcz316/SKRoot-linuxKernelRoot,2020-12-01,0
faressoft/terminalizer,2022-10-01,27
gizak/termui,2023-02-01,0
microsoft/ailab,2021-04-01,11
buuing/lucky-canvas,2020-11-01,167
mickael-kerjean/filestash,2021-07-01,70
google/gopacket,2021-04-01,54
JakeWharton/timber,2021-08-01,1
utterance/utterances,2025-01-01,0
Alinshans/MyTinySTL,2020-07-01,3
truemail-rb/truemail,2022-07-01,53
redox-os/redox,2019-09-01,780
ncapdevi/FragNav,2021-09-01,0
gptlink/gptlink,2020-10-01,0
top-think/think,2022-03-01,3
deepseek-ai/DeepSeek-Coder,2023-06-01,0
adisonhuang/awesome-kotlin-android,2022-05-01,1
eddycjy/go-gin-example,2020-07-01,14
microsoft/VFSForGit,2021-04-01,97
nemoTyrant/manong,2019-12-01,0
mojombo/god,2025-04-01,0
fatfreecrm/fat_free_crm,2021-02-01,48
zai-org/ChatGLM2-6B,2021-01-01,0
AutoHotkey/AutoHotkey,2019-10-01,307
t4t5/sweetalert,2024-09-01,0
kotest/kotest,2019-11-01,572
inancgumus/learngo,2020-02-01,300
ledermann/rails-settings,2021-12-01,3
rest-client/rest-client,2021-05-01,0
TranslucentTB/TranslucentTB,2021-08-01,244
Manisso/fsociety,2020-03-01,16
gravitational/teleport,2021-10-01,1506
x360ce/x360ce,2020-11-01,192
ogham/dog,2020-05-01,4
Wan-Video/Wan2.1,2019-12-01,0
klinker24/Android-TextView-LinkBuilder,2022-05-01,0
symfony/yaml,2023-01-01,64
mickael-kerjean/filestash,2019-12-01,263
freshshell/fresh,2021-02-01,28
ogham/dog,2020-07-01,15
